Event.Nr	CDA.nSCR	CDA.Latency	CDA.AmpSum	CDA.SCR	CDA.ISCR	CDA.PhasicMax	CDA.Tonic	TTP.nSCR	TTP.Latency	TTP.AmpSum	Global.Mean	Global.MaxDeflection	Event.NID	Event.Name
 59	 3	-1.2784	0.2962	0.3114	0.3114	0.0493	-0.8140	 0	   NaN	-0.4418	3.6119	0.0670	 62	"47"
 60	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.7173	0.1650	 0	   NaN	-0.4418	3.7941	0.0000	 63	"white noise video"
 61	-1	   NaN	-0.5380	-0.5896	-0.5896	-0.5027	-1.1190	 0	   NaN	-0.4418	3.5342	0.0027	 64	"VIHA"
 62	 0	0.9984	-0.2184	-0.1005	-0.1005	0.0021	-1.0165	 1	4.0781	3.5345	3.5922	0.0237	 65	"47"
 63	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.5548	0.4023	 0	   NaN	-0.4418	3.9603	0.0000	 66	"white noise video"
 64	-1	   NaN	-0.5380	-0.5978	-0.5978	-0.6506	-0.9119	 0	   NaN	-0.4418	3.5567	0.0012	 67	"VOITTO"
 65	 2	-0.9369	0.2119	0.1340	0.1340	0.2030	-0.9165	 0	   NaN	-0.4418	3.6645	0.0792	 68	"47"
 66	-1	   NaN	-0.5380	-0.5352	-0.5352	-0.5433	-0.7738	 0	   NaN	-0.4418	3.5805	0.0017	 69	"white noise video"
 67	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.5638	0.5418	 0	   NaN	-0.4418	4.0399	0.0000	 70	"INNOSTUNEISUUS"
 68	-1	   NaN	-0.5380	-0.3200	-0.3200	0.0536	1.0161	 1	4.4531	2.1178	3.9151	0.0057	 71	"47"
 69	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.7805	1.4100	 0	   NaN	-0.4418	3.9645	0.0000	 72	"white noise video"
 70	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.5219	0.4694	 0	   NaN	-0.4418	3.9372	0.0000	 73	"ILO"
 71	-1	   NaN	-0.5380	0.0896	0.0896	2.1953	1.0570	 1	4.6406	2.2977	3.8480	0.0111	 74	"47"
 72	 0	-0.5953	-0.3870	-0.4020	-0.4020	-0.4828	1.2653	 0	   NaN	-0.4418	3.9662	0.0010	 75	"white noise video"
 73	 0	0.5430	4.9900	4.8491	4.8491	4.2959	-0.1248	 1	3.0156	4.2004	3.7684	0.3212	 76	"SURU"
 74	 0	-0.8230	0.7574	0.9273	0.9273	1.1920	0.0330	 0	   NaN	-0.4418	4.2662	0.0989	 77	"47"
 75	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.8132	1.4073	 0	   NaN	-0.4418	3.9233	0.0000	 78	"white noise video"
 76	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.7631	-0.6763	 0	   NaN	-0.4418	3.5992	0.0004	 79	"EMPATIA"
 77	 0	0.4292	1.8466	2.1085	2.1085	1.5950	-0.5489	 1	3.0156	2.5535	3.6523	0.1781	 80	"47"
 78	-1	   NaN	-0.5380	-0.3854	-0.3854	-0.5762	0.7008	 0	   NaN	-0.4418	3.8483	0.0000	 81	"white noise video"
 79	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.5888	-1.1462	 0	   NaN	-0.4418	3.5318	0.0022	 82	"RENTOUTUNEISUUS"
 80	 2	-0.3677	-0.1591	-0.1873	-0.1873	-0.3608	-1.1161	 1	3.4531	1.3344	3.5255	0.0221	 83	"47"
 81	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.7374	-0.5888	 0	   NaN	-0.4418	3.6551	0.0000	 84	"white noise video"
 82	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.6035	-0.7986	 0	   NaN	-0.4418	3.5747	0.0012	 85	"INHO"
 83	 0	1.6814	1.3135	1.2738	1.2738	1.3494	-0.8641	 1	3.3906	1.9810	3.5722	0.0932	 86	"47"
 84	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.7520	0.0062	 0	   NaN	-0.4418	3.7331	0.0000	 87	"white noise video"
 85	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.6837	-0.6363	 0	   NaN	-0.4418	3.6366	0.0003	 88	"RENTOUTUNEISUUS"
 86	 0	1.7953	2.8103	1.5311	1.5311	2.4471	-0.4287	 1	3.8281	3.3920	3.6447	0.1000	 89	"47"
 87	-1	   NaN	-0.5380	-0.5644	-0.5644	-0.7726	0.6049	 0	   NaN	-0.4418	3.9015	0.0000	 90	"white noise video"
 88	-1	   NaN	-0.5380	-0.5864	-0.5864	-0.4851	0.5246	 0	   NaN	-0.4418	3.9633	0.0000	 91	"INNOSTUNEISUUS"
 89	 2	-0.8230	0.0990	0.0342	0.0342	0.1782	0.7571	 0	   NaN	-0.4418	3.8776	0.0715	 92	"47"
 90	-1	   NaN	-0.5380	-0.5760	-0.5760	-0.5846	0.6924	 0	   NaN	-0.4418	3.8079	0.0000	 93	"white noise video"
 91	-1	   NaN	-0.5380	-0.4968	-0.4968	-0.5324	0.7913	 0	   NaN	-0.4418	3.8525	0.0001	 94	"ILO"
 92	 0	0.4292	1.1641	1.3939	1.3939	1.0094	0.7876	 1	3.1406	0.8849	3.8629	0.1143	 95	"47"
 93	-1	   NaN	-0.5380	-0.5969	-0.5969	-0.5951	0.9783	 0	   NaN	-0.4418	3.8935	0.0000	 96	"white noise video"
 94	-1	   NaN	-0.5380	-0.5893	-0.5893	-0.5895	-0.1531	 0	   NaN	-0.4418	3.6680	0.0019	 97	"SURU"
 95	 0	0.8846	0.9397	1.3219	1.3219	1.0997	-0.2272	 1	3.1406	1.2966	3.6895	0.1082	 98	"47"
 96	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.5954	0.2162	 0	   NaN	-0.4418	3.7526	0.0004	 99	"white noise video"
 97	 0	0.2015	-0.4349	-0.3857	-0.3857	-0.3049	-1.1248	 0	   NaN	-0.4418	3.5578	0.0058	100	"INHO"
 98	 0	1.2261	1.5990	1.7290	1.7290	2.0549	-0.8454	 1	3.3906	2.4932	3.5875	0.1494	101	"47"
 99	 0	1.5676	0.6226	0.4511	0.4511	0.2657	0.5803	 1	3.8906	0.1549	3.8550	0.0340	102	"white noise video"
100	-1	   NaN	-0.5380	-0.5797	-0.5797	-0.6127	-0.7935	 0	   NaN	-0.4418	3.5723	0.0013	103	"PELKO"
101	 2	-0.5953	-0.1359	0.0533	0.0533	0.0322	-0.9211	 1	3.3906	1.2635	3.5584	0.0292	104	"47"
102	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.6870	-0.3708	 0	   NaN	-0.4418	3.6810	0.0000	105	"white noise video"
103	-1	   NaN	-0.5380	-0.5762	-0.5762	-0.5775	-0.5762	 0	   NaN	-0.4418	3.6419	0.0019	106	"VIHA"
104	 0	2.0229	-0.1850	-0.1988	-0.1988	-0.0790	-0.4927	 2	3.0781	0.1815	3.6568	0.0154	107	"47"
105	-1	   NaN	-0.5380	-0.5570	-0.5570	-0.6416	-0.3163	 0	   NaN	-0.4418	3.6599	0.0009	108	"white noise video"
106	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.5343	-0.9140	 0	   NaN	-0.4418	3.5772	0.0022	109	"EMPATIA"
107	 0	0.7707	0.7393	0.9300	0.9300	0.7769	-0.7766	 1	3.3906	1.8107	3.5927	0.0985	110	"47"
108	 0	1.5676	-0.4094	-0.4897	-0.4897	-0.4510	-0.0611	 0	   NaN	-0.4418	3.7243	0.0038	111	"white noise video"
109	-1	   NaN	-0.5380	-0.4873	-0.4873	-0.5498	-1.2135	 0	   NaN	-0.4418	3.5332	0.0023	112	"VOITTO"
110	 3	-0.1400	0.2528	0.1512	0.1512	-0.0708	-1.0564	 0	   NaN	-0.4418	3.5422	0.0751	113	"47"
111	-1	   NaN	-0.5380	-0.4152	-0.4152	-0.4908	0.5954	 0	   NaN	-0.4418	3.8343	0.0015	114	"white noise video"
112	-1	   NaN	-0.5380	-0.5278	-0.5278	-0.4518	-0.8564	 0	   NaN	-0.4418	3.5775	0.0011	115	"INHO"
113	 3	-0.4815	1.4577	1.1987	1.1987	0.4377	-0.9576	 1	3.2031	1.2698	3.5927	0.1029	116	"47"
114	-1	   NaN	-0.5380	-0.6048	-0.6048	-0.7701	-0.4472	 0	   NaN	-0.4418	3.6805	0.0000	117	"white noise video"
115	-1	   NaN	-0.5380	-0.5616	-0.5616	-0.4155	-1.4610	 0	   NaN	-0.4418	3.4686	0.0040	118	"EMPATIA"
116	 2	-1.0507	-0.1019	-0.0566	-0.0566	-0.1080	-1.4244	 1	3.0156	-0.1009	3.5137	0.0397	119	"47"
117	 0	-1.1645	-0.3573	-0.4007	-0.4007	-0.3364	-0.8361	 0	   NaN	-0.4418	3.6471	0.0622	120	"white noise video"
118	-1	   NaN	-0.5380	-0.4897	-0.4897	-0.4359	-1.0438	 0	   NaN	-0.4418	3.5615	0.0021	121	"VIHA"
119	 2	0.5430	2.1554	1.6627	1.6627	1.1467	-0.9941	 0	   NaN	-0.4418	3.5766	0.1422	122	"47"
120	 2	-1.3922	-0.2572	-0.3281	-0.3281	-0.3546	0.0760	 0	   NaN	-0.4418	3.7517	0.0078	123	"white noise video"
121	-1	   NaN	-0.5380	-0.4220	-0.4220	-0.1827	-1.0252	 0	   NaN	-0.4418	3.6879	0.0070	124	"RENTOUTUNEISUUS"
122	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.7248	-0.6795	 0	   NaN	-0.4418	3.6311	0.0000	125	"47"
123	-1	   NaN	-0.5380	-0.4868	-0.4868	-0.4926	-0.8503	 0	   NaN	-0.4418	3.5677	0.0030	126	"white noise video"
124	-1	   NaN	-0.5380	-0.4404	-0.4404	-0.4845	-1.7304	 0	   NaN	-0.4418	3.4689	0.0023	127	"SURU"
125	-1	   NaN	-0.5380	-0.4985	-0.4985	-0.5549	-0.6175	 0	   NaN	-0.4418	3.9011	0.0004	128	"47"
126	-1	   NaN	-0.5380	-0.5824	-0.5824	-0.7920	-0.3777	 0	   NaN	-0.4418	3.6423	0.0000	129	"white noise video"
127	-1	   NaN	-0.5380	-0.5950	-0.5950	-0.7064	-1.5924	 0	   NaN	-0.4418	3.4904	0.0008	130	"ILO"
128	 2	-0.5953	0.4948	0.5410	0.5410	0.1405	-1.3017	 0	   NaN	-0.4418	3.5321	0.1161	131	"47"
129	-1	   NaN	-0.5380	-0.5105	-0.5105	-0.4271	-0.3833	 0	   NaN	-0.4418	3.7919	0.0000	132	"white noise video"
130	-1	   NaN	-0.5380	-0.3975	-0.3975	-0.4595	-1.4216	 0	   NaN	-0.4418	3.5236	0.0311	133	"PELKO"
131	-1	   NaN	-0.5380	-0.5165	-0.5165	-0.4733	-1.1778	 0	   NaN	-0.4418	3.5584	0.0087	134	"47"
132	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.5347	-0.7474	 0	   NaN	-0.4418	3.5884	0.0007	135	"white noise video"
133	 0	-0.0262	-0.4240	-0.2804	-0.2804	0.1113	-1.0229	 0	   NaN	-0.4418	3.6754	0.0614	136	"INNOSTUNEISUUS"
134	 0	-0.1400	0.7419	1.1153	1.1153	0.7798	-0.1107	 0	   NaN	-0.4418	4.0059	0.1650	137	"47"
135	 2	0.4292	0.0121	0.0751	0.0751	-0.1156	0.6885	 1	3.8906	-0.2114	3.7928	0.0158	138	"white noise video"
136	 2	-0.0262	-0.1298	-0.1471	-0.1471	-0.1835	-0.3432	 0	   NaN	-0.4418	3.7350	0.0211	139	"VOITTO"
137	 2	-0.9369	0.6966	0.8236	0.8236	0.7806	0.0587	 0	   NaN	-0.4418	3.7528	0.1484	140	"47"
138	-1	   NaN	-0.5380	-0.5013	-0.5013	-0.4153	2.6492	 0	   NaN	-0.4418	4.5333	0.0000	141	"white noise video"
139	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.5269	0.4639	 0	   NaN	-0.4418	3.7737	0.0008	142	"INNOSTUNEISUUS"
140	 2	-0.7092	1.2553	1.3266	1.3266	0.5334	0.6052	 0	   NaN	-0.4418	3.8575	0.1866	143	"47"
141	 0	-1.0507	-0.3541	-0.4909	-0.4909	-0.2667	2.4524	 0	   NaN	-0.4418	4.1967	0.0152	144	"white noise video"
142	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.5954	1.3066	 0	   NaN	-0.4418	3.9026	0.0000	145	"SURU"
143	-1	   NaN	-0.5380	-0.4036	-0.4036	-0.0936	1.0002	 1	4.8906	2.5525	3.8369	0.0008	146	"47"
144	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.6861	1.8737	 0	   NaN	-0.4418	4.2255	0.0000	147	"white noise video"
145	 0	-0.8230	-0.3759	-0.2777	-0.2777	-0.3515	-0.2826	 0	   NaN	-0.4418	3.6947	0.0018	148	"RENTOUTUNEISUUS"
146	 2	0.2015	0.3048	1.0113	1.0113	1.0212	0.8020	 0	   NaN	-0.4418	4.3196	0.2189	149	"47"
147	-1	   NaN	-0.5380	-0.5775	-0.5775	-0.6711	1.6521	 0	   NaN	-0.4418	3.9675	0.0000	150	"white noise video"
148	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.5382	-0.1054	 0	   NaN	-0.4418	3.7195	0.0002	151	"VOITTO"
149	 3	-0.9369	1.2368	0.8820	0.8820	0.8052	-0.0786	 1	3.0781	2.2717	3.7253	0.0750	152	"47"
150	 0	-0.4815	0.6132	0.8544	0.8544	0.5092	1.4623	 1	3.1406	0.3348	4.0165	0.0902	153	"white noise video"
151	-1	   NaN	-0.5380	0.7895	0.7895	2.1299	0.2858	 1	3.9531	2.5702	3.7581	0.0390	154	"INHO"
152	 2	-1.2784	0.5712	0.4881	0.4881	0.2265	0.5787	 0	   NaN	-0.4418	4.1293	0.0848	155	"47"
153	-1	   NaN	-0.5380	-0.4964	-0.4964	-0.4562	1.3574	 0	   NaN	-0.4418	3.8958	0.0000	156	"white noise video"
154	-1	   NaN	-0.5380	-0.5822	-0.5822	-0.5362	0.7866	 0	   NaN	-0.4418	3.8884	0.0000	157	"VIHA"
155	 0	-0.3677	-0.3723	-0.4052	-0.4052	-0.3292	0.8749	 0	   NaN	-0.4418	4.0166	0.0942	158	"47"
156	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.6966	1.9254	 0	   NaN	-0.4418	4.0382	0.0000	159	"white noise video"
157	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.7394	1.2816	 0	   NaN	-0.4418	4.1004	0.0000	160	"EMPATIA"
158	-1	   NaN	-0.5380	-0.6071	-0.6071	-0.6616	1.5374	 0	   NaN	-0.4418	3.9859	0.0000	161	"47"
159	-1	   NaN	-0.5380	-0.5679	-0.5679	-0.3274	2.4745	 0	   NaN	-0.4418	4.2052	0.0000	162	"white noise video"
160	 0	-1.0507	-0.3820	-0.4254	-0.4254	-0.3199	0.2743	 0	   NaN	-0.4418	3.7716	0.0175	163	"ILO"
161	 0	1.9091	-0.3597	-0.4627	-0.4627	-0.3060	0.2453	 1	4.7031	1.5607	3.7433	0.0035	164	"47"
162	-1	   NaN	-0.5380	-0.5803	-0.5803	-0.7778	0.7381	 0	   NaN	-0.4418	3.8730	0.0000	165	"white noise video"
163	 2	-1.3922	0.0273	-0.0530	-0.0530	0.0206	-0.2011	 0	   NaN	-0.4418	3.8826	0.0371	166	"PELKO"
164	-1	   NaN	-0.5380	-0.6110	-0.6110	-0.5564	0.0624	 0	   NaN	-0.4418	3.7855	0.0003	167	"47"
