CDA.SCR-Onset	CDA.SCR-Amplitude
1004.7656	 -0.4106
1005.7656	 -0.5404
1025.8281	  4.3878
1027.7656	 -0.1738
1030.9531	 -0.3293
1032.8906	 -0.5466
1033.7031	 -0.5287
1057.4531	 -0.5411
1058.3281	  0.0246
1059.2656	 -0.4625
1075.0781	 -0.5309
1076.0156	 -0.5184
1076.9531	 -0.5412
1077.8281	 -0.4618
1078.7031	 -0.4234
1079.5156	 -0.4820
1080.5156	 -0.4290
1082.2031	 -0.5138
1087.4531	  1.9552
1088.0781	  1.8110
1088.8281	  0.6006
1090.5781	  3.5765
1092.0156	  0.3304
1092.4531	 -0.0930
1093.4531	 -0.5312
1096.3906	 -0.5214
1106.1406	 -0.5347
1107.0781	 -0.4921
1107.9531	 -0.5412
1108.8906	 -0.4442
1109.7031	 -0.4770
1110.7031	 -0.4478
1111.5781	 -0.5018
1112.4531	 -0.4904
1113.3281	 -0.5354
1114.0781	 -0.4979
1115.7656	 -0.5432
1116.6406	 -0.5313
1117.6406	 -0.5441
1118.5156	 -0.5617
1119.3281	 -0.5460
1143.2031	  3.2771
1145.0156	  0.4176
1152.2656	  1.6475
1195.3906	 -0.5356
1196.5156	 -0.5430
1200.2031	  0.4109
1201.0781	 -0.0190
1203.4531	  1.8077
1204.0781	  1.9229
1205.6406	 -0.0377
1207.3906	  4.0534
1209.2031	 -0.5179
1222.8281	 -0.5523
1224.5781	 -0.5398
1227.2656	 -0.5000
1228.2031	 -0.5398
1239.1406	 -0.2179
1239.9531	  0.1512
1240.9531	 -0.5379
1247.7656	  0.0503
1248.5156	 -0.0569
1249.4531	 -0.3348
1250.3906	 -0.4199
1251.2656	 -0.1209
1252.0781	 -0.4881
1258.9531	  5.3247
1260.6406	 -0.1046
1261.5781	 -0.4640
1278.3281	 -0.5586
1290.5156	 -0.5427
1291.4531	 -0.3616
1311.0781	 -0.4305
1311.5156	 -0.0668
1312.4531	 -0.4405
1313.5156	  0.3437
1313.8906	  0.4722
1314.9531	 -0.0615
1315.9531	 -0.0360
1316.9531	 -0.2375
1344.2031	 -0.5541
1345.0781	 -0.4858
1346.1406	 -0.5628
1357.2031	 -0.5611
1365.9531	 -0.3810
1366.9531	 -0.2221
1370.3281	 -0.2526
1371.1406	 -0.4197
1371.8281	 -0.3164
1373.2031	  4.9363
1374.7031	  0.4373
1375.5156	 -0.1850
1392.0781	 -0.0673
1393.0156	 -0.1184
1394.0156	 -0.4959
1394.9531	 -0.5197
1395.8906	 -0.3248
1396.8906	 -0.3343
1397.8281	 -0.5407
1398.8281	 -0.5334
1405.5156	 -0.4424
1406.5156	 -0.5287
1423.5156	 -0.2720
1424.3281	  0.0118
1425.2656	  0.1943
1425.9531	 -0.5400
1443.3281	 -0.3618
1444.2656	 -0.4222
1465.3281	 -0.5577
1469.4531	  3.4838
1470.2656	  0.6294
1471.0781	  0.0269
1472.0156	 -0.4009
1473.0156	  0.1120
1473.7656	 -0.1157
1481.0156	  4.3202
1483.2031	 -0.4178
1484.5156	 -0.2784
1496.5781	 -0.4997
1497.5156	 -0.4622
1498.5781	 -0.4049
1499.5156	 -0.3861
1500.3906	 -0.4926
1501.3281	 -0.3803
1502.2656	 -0.4526
1503.3281	 -0.5026
1504.2656	 -0.4902
1505.2031	 -0.5564
1507.0781	 -0.4801
1508.0156	 -0.4864
1508.8906	 -0.5203
1512.7031	 -0.5341
1523.6406	 -0.4517
1524.5781	  0.7190
1525.1406	  1.6232
1525.8906	 -0.0238
1526.9531	 -0.5191
1531.1406	 -0.4324
1532.0156	 -0.1931
1541.4531	  4.5997
1543.3281	 -0.3257
1548.8281	 -0.5028
1549.4531	 -0.4958
1556.3906	 -0.5554
1557.2656	 -0.4903
1558.2031	 -0.4614
1559.0781	 -0.5604
1559.9531	 -0.5015
1560.8281	 -0.5205
1561.7031	 -0.3964
1562.6406	 -0.3847
1563.6406	 -0.4363
1564.5781	 -0.4642
1565.5781	 -0.5173
1568.3906	 -0.5473
1573.2656	 -0.5342
1574.2031	 -0.5380
1590.0781	  7.2588
1592.3281	  1.1546
1594.5781	  0.6222
1595.5156	 -0.1300
1596.3906	 -0.5593
1607.0781	 -0.4355
1608.0156	 -0.4599
1608.8281	 -0.3998
1609.7031	 -0.3577
1610.5781	 -0.3951
1611.5156	 -0.3912
1612.4531	 -0.4165
1613.3906	 -0.4207
1614.2656	 -0.4568
1615.2031	 -0.5066
1616.0781	 -0.5069
1617.0156	 -0.4791
1617.9531	 -0.5533
1619.6406	 -0.5179
1621.5156	 -0.5486
1623.2656	 -0.4824
1624.2656	 -0.4889
1631.6406	 -0.4512
1645.0156	  2.7255
1646.5781	 -0.1604
1647.3906	 -0.0798
1648.1406	 -0.1467
1648.9531	 -0.3119
1649.7656	 -0.4158
1650.7656	 -0.4771
1697.5781	 -0.5607
1698.5781	 -0.3202
1699.2656	 -0.5524
1700.2031	 -0.5152
1700.8906	  0.4461
1701.5156	  0.4660
1702.3906	 -0.3337
1703.1406	 -0.3793
1704.0781	 -0.5438
1710.5156	 -0.4879
1711.2656	  0.2669
1712.0781	  0.0151
1722.0156	 -0.4734
1726.6406	 -0.3985
1727.5156	 -0.3401
1738.7031	 -0.5353
1739.5781	 -0.4907
1753.7031	  1.9567
1754.4531	 -0.0470
1755.2656	 -0.4531
1756.0781	 -0.3596
1756.8281	  0.1165
1757.7031	 -0.0977
1770.2031	 -0.5334
1771.0156	 -0.4505
1793.3281	 -0.4307
1794.2656	  1.0585
1795.2656	  0.0996
1796.3906	 -0.3095
1806.7656	  4.1153
1808.3906	  0.0477
1809.2656	  0.6119
1810.2031	  0.0774
1811.2656	 -0.3003
1835.2656	  2.9607
1836.8281	 -0.2259
1837.7656	 -0.0093
1838.7031	 -0.2641
1839.7656	 -0.5197
1850.4531	  4.4323
1852.4531	 -0.3882
1853.2656	 -0.5325
1861.5781	 -0.0047
1862.3281	  0.0547
1863.2656	 -0.5632
1865.7656	 -0.4528
1866.4531	 -0.4277
1867.3906	 -0.5519
1880.7031	 -0.4023
1882.2031	  1.8839
1883.0156	  1.6851
1883.7031	  2.7310
1885.1406	 -0.3092
1885.8281	 -0.4009
1887.8906	  0.3909
1888.5156	 -0.3427
1892.5156	 -0.1888
1893.2656	 -0.4755
1902.7031	 -0.5550
1904.5781	 -0.5658
1905.3281	 -0.5463
1907.2031	 -0.5350
1907.8281	 -0.5577
1908.8281	 -0.5523
1909.7031	 -0.5469
1917.0156	  1.7411
1918.5156	 -0.4512
1919.3281	 -0.5463
1920.0781	 -0.5212
1921.1406	 -0.4565
1922.0156	 -0.4309
1971.2656	  1.4176
1972.0781	  0.0987
1973.0156	 -0.0620
1973.8906	 -0.2085
1993.0781	 -0.5370
2019.8281	 -0.5000
2020.8906	 -0.5649
2026.4531	  2.3683
2027.2656	  0.3562
2028.1406	 -0.2100
2031.3281	 -0.5528
2032.1406	 -0.4714
2036.6406	  0.9602
2048.0156	 -0.5525
2048.9531	 -0.5274
2056.6406	 -0.5612
2057.5781	 -0.4696
2065.3906	 -0.5150
2080.4531	 -0.5135
2081.2656	 -0.3338
2082.2656	  0.0151
2082.7656	  1.2524
2084.5156	 -0.2475
2085.5156	 -0.5365
2102.3906	  1.6633
2103.0781	  0.3824
2104.0156	 -0.0485
2105.0156	 -0.3938
2116.4531	 -0.4861
2117.3906	 -0.5576
2118.3281	 -0.5077
2119.2656	 -0.5120
2120.2031	 -0.4632
2121.0781	 -0.4916
2122.0781	 -0.5134
2123.0156	 -0.1393
2123.9531	 -0.3446
2132.6406	 -0.4438
2135.8906	 -0.2045
2136.8906	 -0.1190
2137.8281	 -0.5343
2153.0156	 -0.5294
2153.9531	 -0.5380
2168.4531	 -0.1104
2169.1406	 -0.2636
2170.1406	 -0.5196
2179.5156	 -0.5655
2180.5781	 -0.5586
2189.2031	  1.1285
2190.1406	 -0.2010
2191.0781	  0.1239
2191.8906	  0.3842
2192.7031	 -0.1950
2200.6406	 -0.5281
2236.3281	 -0.5441
2244.7031	 -0.5429
2245.2656	 -0.1540
2245.8281	 -0.3035
2247.5781	  2.1991
2248.2656	  1.6379
2250.4531	 -0.4599
2263.0781	 -0.2722
2264.0156	 -0.1494
2272.3281	 -0.4403
2273.1406	  0.0088
2273.8906	 -0.2991
2300.5156	  0.0829
2301.2031	  0.4737
2301.9531	  0.1808
2302.8281	  0.0118
2303.5781	 -0.1757
2305.0156	 -0.3158
2305.8906	 -0.5306
2354.7656	 -0.4849
2357.2031	 -0.3652
2358.1406	 -0.4330
2360.6406	 -0.4631
2361.5156	 -0.5037
2367.3281	  0.5506
2368.1406	 -0.4529
2371.1406	  0.5667
2371.8281	  0.2231
2372.7656	 -0.1750
2373.5156	  0.0775
2374.3281	  0.5373
2375.1406	  0.0679
2390.5781	 -0.5308
2413.9531	 -0.5549
2415.0781	  1.1134
2415.8281	  1.3438
2417.6406	 -0.4134
2424.0156	 -0.4999
2424.7656	 -0.5223
2437.5156	 -0.4825
2438.3906	 -0.5125
2460.5156	 -0.3614
2461.4531	  0.7022
2462.2656	 -0.0806
2463.1406	 -0.5213
2463.9531	 -0.5046
2466.6406	 -0.5314
2484.7656	  0.0309
2485.8281	 -0.2845
2486.8281	 -0.4874
2487.8281	 -0.5518
2501.1406	 -0.5492
2513.7656	 -0.5662
2526.5781	  3.0219
2527.4531	  0.8442
2528.3281	 -0.0976
2529.2031	 -0.3968
2575.3281	 -0.4460
2576.0781	 -0.3818
2577.5781	 -0.5655
2585.4531	  0.0552
2585.9531	  0.0071
2590.0156	  1.4368
2590.7031	  1.3278
2592.6406	 -0.5074
2607.0781	 -0.5417
2608.0156	 -0.5606
2608.9531	 -0.5244
2610.8906	 -0.5433
2611.8906	 -0.5648
2619.0156	 -0.3858
2619.8906	 -0.2173
2620.8906	 -0.4205
2621.9531	 -0.4711
2634.2031	 -0.3033
2634.8906	 -0.4360
2640.5156	 -0.4807
2644.4531	  0.2372
2645.0781	  0.0469
2645.8281	 -0.3865
2674.9531	 -0.4664
2675.6406	 -0.5529
2687.8281	  0.0053
2688.5156	 -0.2108
2689.3281	 -0.4826
2690.2656	 -0.2280
2690.9531	  0.0307
2691.7656	 -0.5491
2693.3906	 -0.3739
2694.2656	  0.7230
2695.0781	  0.8536
2695.7656	  0.2267
2696.7031	  1.1323
2698.0781	 -0.3481
2710.0156	 -0.3074
2710.7656	 -0.3264
2711.6406	 -0.5477
2717.3281	  0.4108
2718.0156	  0.6453
2718.7656	 -0.2858
2719.5781	 -0.3784
2720.4531	 -0.2428
2721.2656	 -0.4796
2744.0781	 -0.3680
2744.8906	 -0.0391
2745.6406	 -0.3824
2746.7656	 -0.3668
2747.8906	 -0.4717
2755.2656	 -0.1351
2756.0156	  0.4884
2759.3281	  2.3539
2759.9531	  1.9301
2760.8281	  1.1154
2761.5781	  1.4151
2762.6406	  2.4060
2764.1406	  0.0644
2765.0781	 -0.2714
2772.0156	 -0.5620
2776.6406	 -0.5617
2777.5781	 -0.4952
2778.3906	 -0.3382
2779.3281	 -0.3778
2780.2656	 -0.3541
2781.3281	 -0.3956
2782.2031	 -0.4478
2783.1406	 -0.4099
2784.0156	 -0.4819
2784.8281	 -0.3299
2785.9531	 -0.4092
2786.9531	 -0.4505
2787.8906	  0.0714
2788.8906	 -0.0132
2790.0781	 -0.3152
2791.0781	 -0.5096
2793.0156	 -0.5291
2798.5781	 -0.5566
2799.5156	 -0.3913
2800.3281	 -0.4891
2808.6406	 -0.5565
2809.3906	 -0.5399
2813.6406	 -0.1004
2814.3906	  0.3778
2815.2656	  0.7813
2817.7031	  1.9372
2818.8281	 -0.1761
2823.3906	 -0.1017
2824.2656	  0.2555
2825.2031	 -0.4484
2837.1406	 -0.5029
2838.0156	 -0.4503
2848.0781	 -0.4653
2848.8281	 -0.4844
2850.5781	 -0.4995
2851.3906	  0.3546
2852.2656	 -0.1673
2853.3281	 -0.4245
2854.1406	 -0.3586
2855.0156	 -0.4337
2855.9531	  0.0097
2856.8906	 -0.3726
2871.0781	 -0.2786
2871.7031	  0.2821
2872.7031	  2.1097
2873.3281	  0.9901
2874.3281	 -0.0192
2875.2656	 -0.4513
2876.0781	 -0.4038
2876.9531	  0.0843
2877.7031	  0.4677
2878.5156	 -0.0318
2879.3281	 -0.5650
2888.2656	 -0.4809
2889.4531	 -0.5282
2890.2656	 -0.5648
2891.1406	 -0.5110
2892.9531	 -0.5418
2899.4531	 -0.5215
2916.4531	 -0.5499
2917.5156	 -0.5360
2918.3906	 -0.5533
2919.3281	 -0.4798
2921.0156	 -0.5309
2926.8906	  6.2417
2927.9531	  0.7250
2928.8906	 -0.0260
2929.7656	 -0.1857
2930.6406	  0.0041
2931.2031	 -0.1525
2932.0781	 -0.5205
2949.3281	 -0.5464
2950.3281	 -0.5346
2951.2031	 -0.3571
2952.1406	 -0.2166
2953.0156	 -0.3520
2953.8906	 -0.5461
2954.7656	 -0.5200
2957.4531	 -0.5617
2958.5156	 -0.5639
2963.4531	 -0.3400
2964.3281	 -0.3645
2974.8281	 -0.2301
2975.8281	 -0.4955
2976.8281	 -0.5498
2981.2656	 -0.2431
2982.2031	  0.0985
2982.9531	  0.5633
2983.7656	  0.4205
2984.5156	  0.0038
2985.4531	 -0.0990
2986.1406	  0.0109
2987.0156	 -0.4113
2991.5156	  0.9467
2993.2656	 -0.5644
3000.2031	 -0.4805
3001.1406	 -0.4041
3001.8906	 -0.3952
3002.7656	 -0.4957
3003.7031	  0.1547
3004.5781	  0.0094
3005.5781	 -0.4581
3016.8906	 -0.5005
3017.8281	 -0.4641
3026.3281	 -0.4419
3027.0781	 -0.5149
3033.0156	  3.1572
3034.2031	  0.3946
3035.0781	 -0.0870
3035.8906	  0.2595
3040.4531	 -0.4560
3054.3281	 -0.5614
3063.8906	 -0.5516
3065.8281	 -0.5605
3076.0156	 -0.4073
3076.8281	  2.6646
3078.3906	  0.1081
3079.3281	 -0.2598
3080.4531	 -0.2844
3081.5156	 -0.5630
3093.8281	  1.3144
3094.5156	  0.4944
3095.5781	 -0.4746
3098.8281	  3.2488
3099.5156	  0.3539
3100.4531	 -0.1094
3101.3281	 -0.4911
3109.2031	  1.1924
3109.7656	  0.1624
3110.6406	 -0.3903
3125.0781	 -0.5430
3126.0156	 -0.5342
3128.8906	 -0.5299
3130.6406	 -0.5135
3131.5781	 -0.3194
3137.5156	 -0.3154
3138.2031	  0.3549
3139.1406	 -0.4713
3140.2031	  0.2485
3141.0156	  1.2609
3141.7656	  0.2301
3142.5781	 -0.2250
3143.5156	 -0.3323
3144.3281	 -0.5475
3152.1406	  6.1967
3154.5781	 -0.4369
3158.2656	 -0.3159
3158.9531	 -0.4004
3167.1406	 -0.5094
3168.2656	 -0.4044
3169.3906	 -0.3742
3170.5781	 -0.4244
3171.8281	 -0.3650
3172.9531	 -0.4598
3173.8906	 -0.5019
3174.8906	 -0.5239
3175.8281	 -0.4504
3176.7031	 -0.4725
3177.5781	 -0.5100
3178.3281	 -0.5129
3180.2656	 -0.5180
3196.5156	 -0.4421
3197.3281	 -0.3873
3198.2031	 -0.4887
3204.8281	 -0.4564
3206.3906	  2.4856
3207.8906	 -0.3564
3208.7656	 -0.5178
3250.3281	 -0.5184
3251.2656	  1.1073
3252.0156	  0.5168
3253.0156	 -0.2071
3254.0781	 -0.4049
3255.0156	 -0.5536
3261.7031	  2.0807
3262.7031	 -0.2674
3263.7656	 -0.3476
3264.8281	 -0.4618
