Event.Nr	CDA.nSCR	CDA.Latency	CDA.AmpSum	CDA.SCR	CDA.ISCR	CDA.PhasicMax	CDA.Tonic	TTP.nSCR	TTP.Latency	TTP.AmpSum	Global.Mean	Global.MaxDeflection	Event.NID	Event.Name
  1	 1	-0.7788	1.1650	1.2361	1.2361	1.0252	-0.6351	 1	7.0156	0.6324	3.6800	0.1193	  4	"white noise video baseline"
  2	 0	-1.0187	-0.4064	-0.1470	-0.1470	0.9091	-2.9528	 1	8.9531	4.1362	3.7326	0.0000	  5	"instruction"
  3	 1	1.0204	0.9390	0.3984	0.3984	0.8755	1.3588	 1	8.5156	-0.1738	4.1400	0.0086	  6	"white noise video"
  4	 0	2.3398	2.0806	0.6205	0.6205	2.1895	-0.8731	 1	8.4531	1.1399	3.7559	0.0200	  7	"RENTOUTUNEISUUS"
  5	-1	   NaN	-0.5247	-0.6646	-0.6646	-0.8090	0.6064	 0	   NaN	-0.3795	3.9835	0.0000	  8	"47"
  6	-1	   NaN	-0.5247	-0.4103	-0.4103	-0.4461	0.2960	 0	   NaN	-0.3795	3.7598	0.0005	  9	"white noise video"
  7	 0	-0.7788	1.6373	1.5631	1.5631	2.5241	0.2405	 0	   NaN	-0.3795	3.8581	0.2114	 10	"SURU"
  8	-1	   NaN	-0.5247	-0.6646	-0.6646	-0.6252	0.6754	 0	   NaN	-0.3795	3.9258	0.0000	 11	"47"
  9	-1	   NaN	-0.5247	-0.6646	-0.6646	-0.5484	0.0357	 0	   NaN	-0.3795	3.9394	0.0022	 12	"white noise video"
 10	 0	1.6201	0.1481	0.0891	0.0891	0.4886	0.5331	 1	8.3281	1.2385	3.9536	0.0230	 13	"INNOSTUNEISUUS"
 11	 0	2.0999	1.1225	0.8379	0.8379	1.8531	1.7733	 1	8.6406	0.3153	4.1852	0.0101	 14	"47"
 12	 0	0.4206	3.4362	4.0884	4.0884	4.1613	1.0125	 1	7.3281	1.8785	3.9906	0.2452	 15	"white noise video"
 13	-1	   NaN	-0.5247	-0.6646	-0.6646	-0.6887	0.0306	 0	   NaN	-0.3795	3.7829	0.0000	 16	"VOITTO"
 14	-1	   NaN	-0.5247	-0.5521	-0.5521	-0.2353	1.1119	 0	   NaN	-0.3795	4.1181	0.0072	 17	"47"
 15	-1	   NaN	-0.5247	-0.5696	-0.5696	-0.4623	0.7445	 0	   NaN	-0.3795	3.8623	0.0012	 18	"white noise video"
 16	-1	   NaN	-0.5247	-0.6646	-0.6646	-0.5333	-0.2974	 0	   NaN	-0.3795	3.7455	0.0000	 19	"VIHA"
 17	-1	   NaN	-0.5247	-0.6646	-0.6646	-0.7974	1.7498	 0	   NaN	-0.3795	4.2196	0.0112	 20	"47"
 18	-1	   NaN	-0.5247	-0.6646	-0.6646	-0.6074	2.0016	 0	   NaN	-0.3795	4.2416	0.0018	 21	"white noise video"
 19	 1	-0.1791	-0.0440	-0.0614	-0.0614	0.0162	0.2117	 1	8.2656	0.5390	3.7947	0.0162	 22	"INHO"
 20	 1	-0.8988	1.1731	0.5618	0.5618	1.2169	0.9565	 1	7.2031	1.5011	3.8810	0.0387	 23	"47"
 21	-1	   NaN	-0.5247	-0.6248	-0.6248	-0.5480	1.5981	 0	   NaN	-0.3795	3.9419	0.0010	 24	"white noise video"
 22	 0	0.3007	-0.4066	-0.3140	-0.3140	-0.2165	0.7659	 0	   NaN	-0.3795	3.9036	0.0146	 25	"EMPATIA"
 23	-1	   NaN	-0.5247	-0.6646	-0.6646	-0.6746	0.8919	 0	   NaN	-0.3795	3.9233	0.0039	 26	"47"
 24	-1	   NaN	-0.5247	-0.4957	-0.4957	-0.4593	0.7371	 0	   NaN	-0.3795	3.8157	0.0010	 27	"white noise video"
 25	-1	   NaN	-0.5247	-0.6646	-0.6646	-0.8935	0.6921	 0	   NaN	-0.3795	3.8752	0.0000	 28	"PELKO"
 26	-1	   NaN	-0.5247	-0.5997	-0.5997	-0.7486	1.0426	 0	   NaN	-0.3795	3.9344	0.0004	 29	"47"
 27	-1	   NaN	-0.5247	-0.6646	-0.6646	-0.8043	0.7637	 0	   NaN	-0.3795	3.8216	0.0000	 30	"white noise video"
 28	-1	   NaN	-0.5247	-0.4250	-0.4250	-0.5718	-0.0730	 0	   NaN	-0.3795	3.7555	0.0016	 31	"ILO"
 29	-1	   NaN	-0.5247	-0.5955	-0.5955	-0.5515	0.0988	 0	   NaN	-0.3795	3.8861	0.0341	 32	"47"
 30	-1	   NaN	-0.5247	-0.6646	-0.6646	-0.5829	0.4041	 0	   NaN	-0.3795	3.7997	0.0053	 33	"white noise video"
 31	-1	   NaN	-0.5247	-0.6574	-0.6574	-0.5464	0.0019	 0	   NaN	-0.3795	3.8539	0.0026	 34	"RENTOUTUNEISUUS"
 32	-1	   NaN	-0.5247	-0.6646	-0.6646	-0.6369	0.3386	 0	   NaN	-0.3795	3.8074	0.0000	 35	"47"
 33	-1	   NaN	-0.5247	-0.6183	-0.6183	-0.6186	0.1801	 0	   NaN	-0.3795	3.8170	0.0000	 36	"white noise video"
 34	-1	   NaN	-0.5247	-0.6646	-0.6646	-0.6788	-0.9522	 0	   NaN	-0.3795	3.5717	0.0032	 37	"ILO"
 35	 0	0.5406	0.2382	0.3507	0.3507	-0.0217	-0.8195	 0	   NaN	-0.3795	3.7130	0.0465	 38	"47"
 36	 1	-0.1791	0.4206	0.4821	0.4821	0.2272	-0.3576	 0	   NaN	-0.3795	3.6856	0.0801	 39	"white noise video"
 37	 0	-1.3786	-0.3681	-0.3570	-0.3570	-0.3269	-1.2783	 0	   NaN	-0.3795	3.5387	0.0292	 40	"VOITTO"
 38	 1	-1.1387	1.0957	1.1496	1.1496	1.4938	-0.9879	 0	   NaN	-0.3795	3.8146	0.2079	 41	"47"
