Event.Nr	CDA.nSCR	CDA.Latency	CDA.AmpSum	CDA.SCR	CDA.ISCR	CDA.PhasicMax	CDA.Tonic	TTP.nSCR	TTP.Latency	TTP.AmpSum	Global.Mean	Global.MaxDeflection	Event.NID	Event.Name
  1	 1	-0.9884	-0.1243	-0.1409	-0.1409	-0.2306	-0.7967	 0	   NaN	-0.2606	3.7551	0.0152	  4	"white noise video baseline"
  2	 0	-0.3141	1.5470	1.6830	1.6830	2.1160	-2.3430	 0	   NaN	-0.2606	3.7884	0.1697	  5	"instruction"
  3	 0	0.2254	-0.3511	-0.4166	-0.4166	0.4380	1.5444	 0	   NaN	-0.2606	4.1230	0.0160	  6	"white noise video"
  4	 0	1.9787	-0.2363	1.3360	1.3360	2.3331	-0.7403	 0	   NaN	-0.2606	3.8637	0.1667	  7	"RENTOUTUNEISUUS"
  5	-1	   NaN	-0.4915	-0.6048	-0.6048	-0.6275	0.6521	 0	   NaN	-0.2606	3.8812	0.0000	  8	"47"
  6	 0	-0.3141	-0.3677	-0.3403	-0.3403	-0.3753	-0.0839	 0	   NaN	-0.2606	3.7343	0.0001	  9	"white noise video"
  7	-1	   NaN	-0.4915	-0.5018	-0.5018	0.6530	0.4664	 1	10.8906	0.2639	3.9508	0.0081	 10	"SURU"
  8	-1	   NaN	-0.4915	-0.5498	-0.5498	-0.5892	0.5129	 0	   NaN	-0.2606	3.8613	0.0000	 11	"47"
  9	-1	   NaN	-0.4915	-0.4193	-0.4193	-0.3511	-0.0851	 0	   NaN	-0.2606	3.8593	0.0000	 12	"white noise video"
 10	 2	-0.8536	1.2479	1.1515	1.1515	0.7279	0.9579	 0	   NaN	-0.2606	4.0279	0.1201	 13	"INNOSTUNEISUUS"
 11	 0	-0.1792	0.4802	0.9283	0.9283	1.4266	1.5558	 0	   NaN	-0.2606	4.2171	0.0788	 14	"47"
 12	-1	   NaN	-0.4915	-0.6048	-0.6048	-0.4638	0.9074	 0	   NaN	-0.2606	4.1895	0.0471	 15	"white noise video"
 13	-1	   NaN	-0.4915	-0.5764	-0.5764	-0.6306	-0.0166	 0	   NaN	-0.2606	3.7549	0.0000	 16	"VOITTO"
 14	 1	0.6300	0.0875	-0.0500	-0.0500	0.0284	1.0249	 0	   NaN	-0.2606	4.0494	0.0000	 17	"47"
 15	-1	   NaN	-0.4915	-0.3648	-0.3648	-0.4963	0.6162	 0	   NaN	-0.2606	3.8412	0.0018	 18	"white noise video"
 16	 0	2.1136	-0.2123	-0.2739	-0.2739	-0.2043	-0.3563	 1	10.5156	-0.0486	3.7165	0.0072	 19	"VIHA"
 17	-1	   NaN	-0.4915	-0.6048	-0.6048	-0.0021	2.1139	 0	   NaN	-0.2606	4.1014	0.0000	 20	"47"
 18	-1	   NaN	-0.4915	-0.6048	-0.6048	-0.8642	1.8269	 0	   NaN	-0.2606	4.0928	0.0000	 21	"white noise video"
 19	 1	-0.7187	0.2049	0.2849	0.2849	-0.1463	0.1564	 0	   NaN	-0.2606	3.8270	0.0452	 22	"INHO"
 20	-1	   NaN	-0.4915	0.6277	0.6277	1.2891	1.1102	 0	   NaN	-0.2606	3.9921	0.1260	 23	"47"
 21	 1	0.2254	0.2587	0.3078	0.3078	0.2575	1.5382	 1	9.5781	0.1701	3.9405	0.0434	 24	"white noise video"
 22	-1	   NaN	-0.4915	-0.6048	-0.6048	-0.5703	0.7507	 0	   NaN	-0.2606	3.8881	0.0001	 25	"EMPATIA"
 23	-1	   NaN	-0.4915	-0.6048	-0.6048	-0.6634	0.8635	 0	   NaN	-0.2606	3.8893	0.0000	 26	"47"
 24	-1	   NaN	-0.4915	-0.3844	-0.3844	-0.4328	0.5115	 0	   NaN	-0.2606	3.8003	0.0013	 27	"white noise video"
 25	 1	1.4393	1.7200	1.4467	1.4467	1.5924	0.7502	 1	9.8906	1.5587	3.8618	0.0819	 28	"PELKO"
 26	 0	-0.5838	-0.3693	-0.3510	-0.3510	-0.5712	1.0014	 0	   NaN	-0.2606	3.9133	0.0016	 29	"47"
 27	-1	   NaN	-0.4915	-0.6048	-0.6048	-0.7230	0.6099	 0	   NaN	-0.2606	3.7971	0.0002	 30	"white noise video"
 28	 1	-0.3141	-0.1100	-0.1243	-0.1243	-0.1687	-0.2104	 1	10.2656	-0.0554	3.7482	0.0088	 31	"ILO"
 29	-1	   NaN	-0.4915	-0.6048	-0.6048	-0.6916	0.1499	 0	   NaN	-0.2606	3.8599	0.0000	 32	"47"
 30	-1	   NaN	-0.4915	-0.3294	-0.3294	0.1234	0.3569	 1	10.7656	0.2577	3.7797	0.0021	 33	"white noise video"
 31	 0	-0.1792	-0.2940	-0.2781	-0.2781	-0.3761	0.1158	 0	   NaN	-0.2606	3.8340	0.0046	 34	"RENTOUTUNEISUUS"
 32	 0	1.4393	-0.3596	-0.4575	-0.4575	-0.5248	0.3057	 0	   NaN	-0.2606	3.7769	0.0027	 35	"47"
 33	-1	   NaN	-0.4915	-0.6048	-0.6048	-0.7205	0.0447	 0	   NaN	-0.2606	3.7719	0.0000	 36	"white noise video"
 34	-1	   NaN	-0.4915	-0.5048	-0.5048	-0.5404	-1.0581	 0	   NaN	-0.2606	3.5715	0.0062	 37	"ILO"
 35	-1	   NaN	-0.4915	-0.4745	-0.4745	-0.6300	-0.8582	 0	   NaN	-0.2606	3.7415	0.0056	 38	"47"
 36	-1	   NaN	-0.4915	-0.5987	-0.5987	-0.6033	-0.3912	 0	   NaN	-0.2606	3.7469	0.0173	 39	"white noise video"
 37	 0	1.8439	1.4439	1.7891	1.7891	2.1809	-1.3146	 0	   NaN	-0.2606	3.5887	0.1230	 40	"VOITTO"
 38	-1	   NaN	-0.4915	-0.5905	-0.5905	-0.4906	-0.8524	 0	   NaN	-0.2606	3.8893	0.0071	 41	"47"
 39	 0	0.6300	-0.1923	-0.0813	-0.0813	-0.0709	-0.5961	 0	   NaN	-0.2606	3.6952	0.0393	 42	"white noise video"
 40	 1	-0.1792	1.1977	1.6530	1.6530	1.3735	-1.3152	 0	   NaN	-0.2606	3.6564	0.2118	 43	"PELKO"
 41	-1	   NaN	-0.4915	-0.3503	-0.3503	-0.4669	-0.8921	 0	   NaN	-0.2606	3.7700	0.0000	 44	"47"
 42	-1	   NaN	-0.4915	-0.5672	-0.5672	-0.6127	-0.8191	 0	   NaN	-0.2606	3.6044	0.0013	 45	"white noise video"
 43	 0	0.0905	-0.3591	-0.4030	-0.4030	-0.4008	-0.2803	 0	   NaN	-0.2606	3.8127	0.0002	 46	"EMPATIA"
 44	-1	   NaN	-0.4915	-0.6048	-0.6048	-0.8291	-0.2328	 0	   NaN	-0.2606	3.7327	0.0000	 47	"47"
 45	-1	   NaN	-0.4915	-0.4503	-0.4503	-0.6260	-0.7886	 0	   NaN	-0.2606	3.6216	0.0000	 48	"white noise video"
 46	 2	-0.4490	4.1680	4.0245	4.0245	2.8152	-1.2069	 0	   NaN	-0.2606	3.6764	0.3861	 49	"INNOSTUNEISUUS"
 47	 0	-0.4490	-0.3609	-0.3045	-0.3045	-0.5158	0.5081	 0	   NaN	-0.2606	4.3214	0.0000	 50	"47"
 48	-1	   NaN	-0.4915	-0.4474	-0.4474	-0.5780	0.7575	 0	   NaN	-0.2606	3.8223	0.0000	 51	"white noise video"
 49	 0	-0.9884	2.3659	2.4257	2.4257	2.2138	-1.5159	 0	   NaN	-0.2606	3.6703	0.2579	 52	"INHO"
 50	-1	   NaN	-0.4915	-0.6048	-0.6048	-1.0427	-0.4793	 0	   NaN	-0.2606	3.7656	0.0000	 53	"47"
 51	-1	   NaN	-0.4915	-0.6048	-0.6048	-0.6657	-0.1106	 0	   NaN	-0.2606	3.7110	0.0000	 54	"white noise video"
 52	 0	1.1695	0.3137	0.6151	0.6151	0.4238	-1.8489	 1	9.2031	7.1846	3.5053	0.0576	 55	"VIHA"
 53	 0	1.5741	2.9217	3.1733	3.1733	2.9184	-0.7482	 0	   NaN	-0.2606	4.0590	0.2121	 56	"47"
 54	-1	   NaN	-0.4915	-0.3966	-0.3966	-0.4371	0.9116	 0	   NaN	-0.2606	3.8440	0.0000	 57	"white noise video"
 55	-1	   NaN	-0.4915	-0.4303	-0.4303	0.3478	-0.2263	 1	10.5156	4.2858	3.7175	0.0103	 58	"SURU"
 56	-1	   NaN	-0.4915	-0.6048	-0.6048	-0.5425	0.5982	 0	   NaN	-0.2606	4.1481	0.0000	 59	"47"
