Event.Nr	CDA.nSCR	CDA.Latency	CDA.AmpSum	CDA.SCR	CDA.ISCR	CDA.PhasicMax	CDA.Tonic	TTP.nSCR	TTP.Latency	TTP.AmpSum	Global.Mean	Global.MaxDeflection	Event.NID	Event.Name
  1	-1	   NaN	-0.3616	-0.4552	-0.4552	-0.5446	-0.2070	 0	   NaN	-0.2866	3.7438	0.0009	  4	"white noise video baseline"
  2	-1	   NaN	-0.3616	-0.4552	-0.4552	-0.4490	-3.1282	 0	   NaN	-0.2866	3.2319	0.0007	  5	"instruction"
  3	-1	   NaN	-0.3616	2.0989	2.0989	4.0411	-1.3456	 0	   NaN	-0.2866	3.8777	0.1744	  6	"white noise video"
  4	-1	   NaN	-0.3616	-0.4552	-0.4552	-0.4718	-1.2583	 0	   NaN	-0.2866	3.5485	0.0024	  7	"RENTOUTUNEISUUS"
  5	 2	-0.5024	0.9183	1.5733	1.5733	2.0857	0.4367	 0	   NaN	-0.2866	3.7959	0.1003	  8	"47"
  6	-1	   NaN	-0.3616	-0.3369	-0.3369	-0.2991	0.9621	 0	   NaN	-0.2866	3.8442	0.0036	  9	"white noise video"
  7	-1	   NaN	-0.3616	-0.4552	-0.4552	-0.4912	-0.0623	 0	   NaN	-0.2866	3.6804	0.0023	 10	"SURU"
  8	-1	   NaN	-0.3616	-0.4552	-0.4552	-0.7316	1.0727	 0	   NaN	-0.2866	3.9243	0.0000	 11	"47"
  9	-1	   NaN	-0.3616	-0.3557	-0.3557	-0.2180	0.5976	 0	   NaN	-0.2866	3.7861	0.0004	 12	"white noise video"
 10	-1	   NaN	-0.3616	-0.4552	-0.4552	-0.4620	-0.6234	 0	   NaN	-0.2866	3.6323	0.0056	 13	"INNOSTUNEISUUS"
 11	-1	   NaN	-0.3616	-0.4552	-0.4552	-0.7314	2.3131	 0	   NaN	-0.2866	4.0632	0.0000	 14	"47"
 12	 1	1.9383	-0.1686	-0.2353	-0.2353	0.0703	1.5035	 0	   NaN	-0.2866	4.1040	0.0000	 15	"white noise video"
 13	-1	   NaN	-0.3616	-0.4438	-0.4438	-0.3911	0.2279	 0	   NaN	-0.2866	3.7467	0.0023	 16	"VOITTO"
 14	-1	   NaN	-0.3616	-0.4552	-0.4552	-0.5196	1.2209	 0	   NaN	-0.2866	3.9390	0.0000	 17	"47"
 15	-1	   NaN	-0.3616	-0.0828	-0.0828	0.0469	1.1874	 0	   NaN	-0.2866	4.0026	0.0002	 18	"white noise video"
 16	 1	1.8273	-0.1289	-0.1404	-0.1404	-0.0747	-0.0569	 1	2.5156	0.4252	3.6660	0.0061	 19	"VIHA"
 17	 1	0.2742	0.2404	0.5454	0.5454	0.2791	0.3846	 1	1.2031	3.0714	3.7508	0.0830	 20	"47"
 18	 1	-0.2805	3.1786	3.7274	3.7274	3.8660	2.4135	 1	1.1406	1.4482	4.1428	0.2457	 21	"white noise video"
 19	-1	   NaN	-0.3616	-0.3382	-0.3382	-0.2903	0.4837	 0	   NaN	-0.2866	3.7867	0.0008	 22	"INHO"
 20	 2	-0.2805	0.1673	0.2044	0.2044	0.1543	0.5867	 1	2.8906	-0.2143	3.8993	0.0309	 23	"47"
 21	 1	-0.0586	-0.2030	-0.1511	-0.1511	0.0078	1.5548	 0	   NaN	-0.2866	4.1146	0.0261	 24	"white noise video"
 22	 1	-0.0586	0.2417	0.4975	0.4975	0.5404	0.9094	 0	   NaN	-0.2866	3.8623	0.0656	 25	"EMPATIA"
 23	 2	-1.0570	0.7316	0.5703	0.5703	0.8690	1.0671	 0	   NaN	-0.2866	3.8849	0.0803	 26	"47"
 24	 1	0.6070	-0.2060	-0.2023	-0.2023	-0.2285	1.1132	 0	   NaN	-0.2866	3.8610	0.0041	 27	"white noise video"
 25	 1	-0.7242	0.0846	0.1921	0.1921	0.2346	0.8630	 0	   NaN	-0.2866	3.8824	0.0659	 28	"PELKO"
 26	-1	   NaN	-0.3616	0.2270	0.2270	1.4707	1.1090	 0	   NaN	-0.2866	4.0119	0.1095	 29	"47"
 27	-1	   NaN	-0.3616	-0.4552	-0.4552	-0.4168	1.1889	 0	   NaN	-0.2866	3.8784	0.0004	 30	"white noise video"
 28	 2	0.2742	-0.0676	-0.0821	-0.0821	-0.1600	0.6115	 0	   NaN	-0.2866	3.7940	0.0005	 31	"ILO"
 29	-1	   NaN	-0.3616	-0.1990	-0.1990	-0.2693	0.0717	 0	   NaN	-0.2866	3.7524	0.0018	 32	"47"
 30	 2	-0.9461	0.0409	0.0143	0.0143	0.1157	0.5284	 0	   NaN	-0.2866	3.8255	0.0061	 33	"white noise video"
 31	 2	-0.1695	0.2701	0.3061	0.3061	0.4576	-0.1564	 0	   NaN	-0.2866	3.6937	0.0507	 34	"RENTOUTUNEISUUS"
 32	 1	0.2742	-0.2144	-0.1957	-0.1957	-0.1595	0.1396	 0	   NaN	-0.2866	3.8577	0.0158	 35	"47"
 33	-1	   NaN	-0.3616	-0.3974	-0.3974	-0.1269	0.5624	 1	2.9531	0.4219	3.7679	0.0003	 36	"white noise video"
 34	-1	   NaN	-0.3616	-0.3509	-0.3509	-0.4074	-0.6608	 0	   NaN	-0.2866	3.5857	0.0020	 37	"ILO"
 35	-1	   NaN	-0.3616	-0.3453	-0.3453	-0.3584	-0.6747	 0	   NaN	-0.2866	3.5715	0.0062	 38	"47"
 36	-1	   NaN	-0.3616	-0.4552	-0.4552	-0.5714	-0.3944	 0	   NaN	-0.2866	3.7132	0.0000	 39	"white noise video"
 37	-1	   NaN	-0.3616	-0.4552	-0.4552	-0.2745	-0.9417	 0	   NaN	-0.2866	3.5442	0.0037	 40	"VOITTO"
 38	-1	   NaN	-0.3616	-0.3036	-0.3036	-0.0890	-1.0150	 1	2.8906	2.1740	3.5263	0.0015	 41	"47"
 39	-1	   NaN	-0.3616	-0.4552	-0.4552	-0.3907	-0.1796	 0	   NaN	-0.2866	3.7765	0.0000	 42	"white noise video"
 40	-1	   NaN	-0.3616	-0.1990	-0.1990	-0.3899	-1.2984	 0	   NaN	-0.2866	3.5194	0.0024	 43	"PELKO"
 41	-1	   NaN	-0.3616	-0.4552	-0.4552	-0.3884	-1.2196	 0	   NaN	-0.2866	3.5112	0.0019	 44	"47"
 42	-1	   NaN	-0.3616	-0.3064	-0.3064	-0.4508	-0.4419	 0	   NaN	-0.2866	3.7036	0.0000	 45	"white noise video"
 43	 1	0.1633	3.8438	4.2044	4.2044	3.7347	-1.0910	 0	   NaN	-0.2866	3.6217	0.3094	 46	"EMPATIA"
 44	 1	2.1601	-0.0448	-0.2446	-0.2446	-0.1326	-0.3956	 0	   NaN	-0.2866	3.9064	0.0000	 47	"47"
 45	-1	   NaN	-0.3616	-0.4425	-0.4425	-0.3699	0.0353	 0	   NaN	-0.2866	3.6949	0.0000	 48	"white noise video"
 46	 2	-0.3914	0.0640	0.0577	0.0577	-0.1051	-1.7319	 0	   NaN	-0.2866	3.4881	0.0014	 49	"INNOSTUNEISUUS"
 47	-1	   NaN	-0.3616	-0.3842	-0.3842	0.9585	-1.4283	 1	2.3281	5.4369	3.4824	0.0229	 50	"47"
 48	 1	-0.6133	-0.2032	-0.2392	-0.2392	-0.3815	1.0480	 0	   NaN	-0.2866	4.1079	0.0000	 51	"white noise video"
 49	-1	   NaN	-0.3616	-0.4066	-0.4066	-0.5263	-1.0029	 0	   NaN	-0.2866	3.5349	0.0010	 52	"INHO"
 50	-1	   NaN	-0.3616	0.6158	0.6158	1.6759	-1.1701	 1	2.0781	2.1405	3.5068	0.0316	 53	"47"
 51	 1	-0.8352	1.5848	1.4898	1.4898	1.2378	0.2590	 0	   NaN	-0.2866	3.8022	0.1453	 54	"white noise video"
 52	-1	   NaN	-0.3616	-0.4232	-0.4232	-0.4585	-1.3856	 0	   NaN	-0.2866	3.4856	0.0016	 55	"VIHA"
 53	-1	   NaN	-0.3616	-0.0174	-0.0174	0.4185	-1.4146	 1	2.2031	5.0020	3.4886	0.0097	 56	"47"
 54	 1	-0.9461	-0.2003	-0.4552	-0.4552	-0.2398	0.6914	 0	   NaN	-0.2866	4.2826	0.0098	 57	"white noise video"
 55	 2	-0.3914	0.4920	0.6418	0.6418	0.4889	-0.5338	 0	   NaN	-0.2866	3.6742	0.0855	 58	"SURU"
 56	-1	   NaN	-0.3616	-0.4552	-0.4552	-0.7967	-0.1762	 0	   NaN	-0.2866	3.7444	0.0000	 59	"47"
 57	-1	   NaN	-0.3616	-0.4069	-0.4069	-0.3957	0.9347	 0	   NaN	-0.2866	4.0137	0.0000	 60	"white noise video"
 58	-1	   NaN	-0.3616	-0.3938	-0.3938	-0.4104	-0.6331	 0	   NaN	-0.2866	3.5982	0.0015	 61	"PELKO"
 59	-1	   NaN	-0.3616	-0.1042	-0.1042	0.0227	-0.7251	 1	2.7656	1.6720	3.5732	0.0070	 62	"47"
 60	-1	   NaN	-0.3616	-0.4552	-0.4552	-0.3982	0.0268	 0	   NaN	-0.2866	3.8405	0.0000	 63	"white noise video"
 61	-1	   NaN	-0.3616	-0.3967	-0.3967	-0.5481	-1.0059	 0	   NaN	-0.2866	3.5457	0.0006	 64	"VIHA"
 62	-1	   NaN	-0.3616	-0.1881	-0.1881	0.0984	-1.0060	 0	   NaN	-0.2866	3.5708	0.0395	 65	"47"
