Event.Nr	CDA.nSCR	CDA.Latency	CDA.AmpSum	CDA.SCR	CDA.ISCR	CDA.PhasicMax	CDA.Tonic	TTP.nSCR	TTP.Latency	TTP.AmpSum	Global.Mean	Global.MaxDeflection	Event.NID	Event.Name
  1	-1	   NaN	-0.5644	-0.5052	-0.5052	-0.2091	-0.4770	 0	   NaN	-0.2975	3.6349	0.0000	  4	"white noise video baseline"
  2	 2	-0.1848	0.1172	0.1655	0.1655	-0.0079	-3.1608	 0	   NaN	-0.2975	3.7146	0.1488	  5	"instruction"
  3	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.5783	0.7423	 0	   NaN	-0.2975	4.2849	0.0179	  6	"white noise video"
  4	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.1567	-1.0140	 0	   NaN	-0.2975	3.7809	0.0796	  7	"RENTOUTUNEISUUS"
  5	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.8612	0.5598	 0	   NaN	-0.2975	4.1189	0.0070	  8	"47"
  6	-1	   NaN	-0.5644	-0.5165	-0.5165	-0.3989	0.6213	 0	   NaN	-0.2975	3.7852	0.0008	  9	"white noise video"
  7	-1	   NaN	-0.5644	-0.6049	-0.6049	0.8424	0.0551	 1	6.3906	2.2043	3.7347	0.0079	 10	"SURU"
  8	-1	   NaN	-0.5644	0.0812	0.0812	0.3717	0.8344	 0	   NaN	-0.2975	3.9186	0.0754	 11	"47"
  9	 2	-0.1848	0.6219	1.1357	1.1357	0.9103	0.1964	 0	   NaN	-0.2975	3.8988	0.1302	 12	"white noise video"
 10	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.1706	0.0780	 0	   NaN	-0.2975	3.9379	0.1115	 13	"INNOSTUNEISUUS"
 11	-1	   NaN	-0.5644	-0.0988	-0.0988	1.8386	2.0057	 0	   NaN	-0.2975	4.2180	0.1272	 14	"47"
 12	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.5720	1.1434	 0	   NaN	-0.2975	3.9390	0.0000	 15	"white noise video"
 13	 0	-0.5087	-0.3474	-0.2509	-0.2509	-0.3669	0.0903	 0	   NaN	-0.2975	3.7798	0.0383	 16	"VOITTO"
 14	 2	-0.1848	2.1309	2.1809	2.1809	1.9220	1.1912	 0	   NaN	-0.2975	4.0124	0.2150	 17	"47"
 15	-1	   NaN	-0.5644	-0.5860	-0.5860	-0.5770	0.8839	 0	   NaN	-0.2975	3.8977	0.0000	 18	"white noise video"
 16	 0	-0.6166	-0.4047	-0.4354	-0.4354	-0.3770	-0.2278	 0	   NaN	-0.2975	3.7654	0.0231	 19	"VIHA"
 17	 2	-0.8325	1.0534	0.9018	0.9018	0.5878	1.2693	 0	   NaN	-0.2975	4.1402	0.1903	 20	"47"
 18	 2	-0.0769	1.3206	1.6015	1.6015	1.6155	2.1781	 1	5.5156	0.2994	4.2537	0.0521	 21	"white noise video"
 19	-1	   NaN	-0.5644	-0.4761	-0.4761	-0.5336	0.2979	 0	   NaN	-0.2975	3.7913	0.0110	 22	"INHO"
 20	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.8220	0.8132	 0	   NaN	-0.2975	3.8913	0.0000	 23	"47"
 21	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.7217	1.6074	 0	   NaN	-0.2975	3.9917	0.0000	 24	"white noise video"
 22	 2	-0.0769	-0.1100	-0.3390	-0.3390	-0.1002	0.8010	 1	6.7656	-0.1082	3.8979	0.0034	 25	"EMPATIA"
 23	 2	-0.6166	0.0940	0.1361	0.1361	-0.1810	0.9410	 1	5.3906	0.0604	3.9066	0.0277	 26	"47"
 24	-1	   NaN	-0.5644	-0.6327	-0.6327	-0.6007	0.9122	 0	   NaN	-0.2975	3.8344	0.0003	 27	"white noise video"
 25	-1	   NaN	-0.5644	-0.5516	-0.5516	-0.6399	0.6962	 0	   NaN	-0.2975	3.8989	0.0017	 28	"PELKO"
 26	 0	0.6787	-0.3389	-0.2836	-0.2836	-0.4988	1.0844	 0	   NaN	-0.2975	3.9566	0.0000	 29	"47"
 27	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.6664	0.9169	 0	   NaN	-0.2975	3.8460	0.0007	 30	"white noise video"
 28	 0	-0.0769	-0.4347	-0.3474	-0.3474	-0.3640	0.0950	 0	   NaN	-0.2975	3.7667	0.0036	 31	"ILO"
 29	 0	-0.0769	1.2018	1.3189	1.3189	1.1526	0.0539	 1	5.0156	1.4183	3.7788	0.1234	 32	"47"
 30	 0	0.7867	-0.3484	-0.3555	-0.3555	-0.2326	0.4551	 0	   NaN	-0.2975	3.7956	0.0100	 33	"white noise video"
 31	 2	-1.0484	-0.1242	-0.1344	-0.1344	-0.3184	-0.1099	 0	   NaN	-0.2975	3.8402	0.0576	 34	"RENTOUTUNEISUUS"
 32	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.5062	0.3264	 0	   NaN	-0.2975	3.8311	0.0022	 35	"47"
 33	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.6139	0.3119	 0	   NaN	-0.2975	3.8620	0.0084	 36	"white noise video"
 34	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.6527	-0.8521	 0	   NaN	-0.2975	3.5760	0.0030	 37	"ILO"
 35	 2	-1.3723	0.4614	0.1025	0.1025	0.3604	-0.7705	 0	   NaN	-0.2975	3.6577	0.0866	 38	"47"
 36	 0	1.7582	-0.4261	-0.6255	-0.6255	-0.4402	-0.3472	 1	6.7031	0.8148	3.6552	0.0029	 39	"white noise video"
 37	-1	   NaN	-0.5644	-0.5336	-0.5336	-0.3361	-1.1766	 1	6.8906	3.8262	3.5263	0.0015	 40	"VOITTO"
 38	 0	1.2185	1.5405	1.7127	1.7127	1.8023	-1.0738	 0	   NaN	-0.2975	3.5887	0.1230	 41	"47"
 39	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.7194	-0.2500	 0	   NaN	-0.2975	3.6794	0.0000	 42	"white noise video"
 40	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.7038	-1.4509	 0	   NaN	-0.2975	3.5139	0.0018	 43	"PELKO"
 41	 3	-1.0484	0.5981	0.6128	0.6128	0.3720	-0.9655	 0	   NaN	-0.2975	3.7534	0.1497	 44	"47"
 42	-1	   NaN	-0.5644	-0.6695	-0.6695	-0.5828	-0.5658	 0	   NaN	-0.2975	3.6486	0.0005	 45	"white noise video"
 43	 0	1.9741	-0.2651	-0.4802	-0.4802	-0.3724	-0.5545	 0	   NaN	-0.2975	3.9064	0.0000	 46	"EMPATIA"
 44	 0	-0.1848	-0.4204	-0.4701	-0.4701	-0.4392	-0.1099	 0	   NaN	-0.2975	3.8127	0.0002	 47	"47"
 45	-1	   NaN	-0.5644	-0.6522	-0.6522	-0.5165	-0.3079	 0	   NaN	-0.2975	3.6659	0.0014	 48	"white noise video"
 46	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.6933	-1.9681	 0	   NaN	-0.2975	3.4813	0.0066	 49	"INNOSTUNEISUUS"
 47	 0	1.3264	2.7762	2.4733	2.4733	2.6788	-0.2839	 0	   NaN	-0.2975	4.0470	0.2707	 50	"47"
 48	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.7552	1.0292	 0	   NaN	-0.2975	3.9227	0.0000	 51	"white noise video"
 49	-1	   NaN	-0.5644	-0.5816	-0.5816	-0.5824	-1.2986	 0	   NaN	-0.2975	3.5102	0.0014	 52	"INHO"
 50	 0	-1.3723	0.3164	0.0001	0.0001	0.1082	-1.0342	 0	   NaN	-0.2975	3.8545	0.0748	 53	"47"
 51	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.7088	0.2099	 0	   NaN	-0.2975	3.8151	0.0000	 54	"white noise video"
 52	 2	-0.7246	-0.2929	-0.3315	-0.3315	-0.2796	-1.5836	 1	6.3281	-0.1806	3.4725	0.0171	 55	"VIHA"
 53	 0	1.1105	1.3989	1.8321	1.8321	1.6437	-1.4591	 0	   NaN	-0.2975	3.6373	0.1252	 56	"47"
 54	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.8274	1.3343	 0	   NaN	-0.2975	3.9973	0.0000	 57	"white noise video"
 55	 0	-1.2643	-0.3888	-0.4865	-0.4865	-0.3753	-0.5224	 0	   NaN	-0.2975	3.7653	0.0134	 58	"SURU"
 56	 0	0.2469	4.1375	4.3530	4.3530	3.6051	0.2550	 0	   NaN	-0.2975	3.8789	0.3692	 59	"47"
 57	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.6951	0.7129	 0	   NaN	-0.2975	3.8535	0.0000	 60	"white noise video"
 58	-1	   NaN	-0.5644	-0.5457	-0.5457	-0.6032	-0.8693	 0	   NaN	-0.2975	3.5736	0.0023	 61	"PELKO"
 59	 3	-0.5087	1.6900	1.3731	1.3731	0.6474	-0.8414	 0	   NaN	-0.2975	3.7119	0.1378	 62	"47"
 60	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.6464	0.1812	 0	   NaN	-0.2975	3.7543	0.0002	 63	"white noise video"
 61	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.6438	-1.2209	 0	   NaN	-0.2975	3.5235	0.0022	 64	"VIHA"
 62	 2	-1.1564	-0.0263	1.5361	1.5361	2.7595	-1.0071	 0	   NaN	-0.2975	3.6435	0.0951	 65	"47"
 63	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.9018	0.6353	 0	   NaN	-0.2975	3.8879	0.0000	 66	"white noise video"
 64	-1	   NaN	-0.5644	-0.5252	-0.5252	-0.5691	-1.0290	 0	   NaN	-0.2975	3.5482	0.0043	 67	"VOITTO"
 65	-1	   NaN	-0.5644	-0.5655	-0.5655	-0.7489	-0.9484	 0	   NaN	-0.2975	3.6867	0.0002	 68	"47"
 66	-1	   NaN	-0.5644	-0.5768	-0.5768	-0.5120	-0.9229	 0	   NaN	-0.2975	3.5698	0.0031	 69	"white noise video"
 67	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.7584	0.7963	 0	   NaN	-0.2975	3.9518	0.0000	 70	"INNOSTUNEISUUS"
 68	 0	0.3549	3.3553	2.8458	2.8458	1.7219	1.1754	 0	   NaN	-0.2975	3.9918	0.2126	 71	"47"
 69	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.8247	1.2603	 0	   NaN	-0.2975	3.9075	0.0000	 72	"white noise video"
 70	 2	-1.1564	0.0599	0.1808	0.1808	0.0057	0.6984	 1	5.4531	0.0323	3.9022	0.0252	 73	"ILO"
 71	 0	-0.6166	3.5730	3.2607	3.2607	3.3879	0.9779	 0	   NaN	-0.2975	4.0227	0.3206	 74	"47"
 72	-1	   NaN	-0.5644	-0.6709	-0.6709	-0.6763	1.2460	 0	   NaN	-0.2975	3.9377	0.0000	 75	"white noise video"
 73	 0	0.8946	0.8903	2.1273	2.1273	1.7796	-0.1163	 0	   NaN	-0.2975	4.1740	0.2803	 76	"SURU"
 74	 2	-0.4007	0.9303	0.8418	0.8418	0.4031	0.1698	 0	   NaN	-0.2975	4.2535	0.0000	 77	"47"
 75	-1	   NaN	-0.5644	-0.5142	-0.5142	-0.6525	1.2549	 0	   NaN	-0.2975	3.8806	0.0000	 78	"white noise video"
 76	 0	0.3549	2.1135	2.2518	2.2518	1.6025	-0.6327	 1	5.0156	4.1113	3.6523	0.1781	 79	"EMPATIA"
 77	 2	-0.4007	0.3599	0.6130	0.6130	0.0538	-0.3604	 0	   NaN	-0.2975	3.8801	0.1660	 80	"47"
